trade_name,trade_type,trading_date,prior_day_settlement_price,open_price,high_price,low_price,close_price,settlement_price_on_the_day,daily_comparsion,swap_point,trading_volume,open_interest_volume
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-22,114.01,113.97,114.97,113.925,114.88,114.88,0.87,,43948,380874
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-23,114.88,114.85,115.205,114.45,115.145,115.145,0.265,,46370,383841
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-24,115.145,115.12,115.53,114.82,115.405,115.405,0.26,20,34989,386748
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-25,115.405,115.405,115.47,115.23,115.335,115.335,-0.07,8,10705,386445
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-26,115.335,115.365,115.365,113.035,113.195,113.195,-2.14,8,109994,372767
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-29,113.195,113.535,113.965,112.985,113.56,113.54,0.345,7,35089,372587
USD-JPY,U.S. Dollar-Japanese Yen,2021-11-30,113.54,113.63,113.905,112.525,113.15,113.15,-0.39,6,54566,365918
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-01,113.15,113.205,113.63,112.67,112.775,112.775,-0.375,11,31830,364401
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-02,112.775,112.8,113.32,112.69,113.21,113.19,0.415,6,19631,364795
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-03,113.19,113.23,113.62,112.555,112.795,112.77,-0.42,7,36938,363353
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-06,112.77,112.885,113.565,112.84,113.485,113.485,0.715,7,18703,365603
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-07,113.485,113.51,113.79,113.4,113.55,113.55,0.065,7,17784,367492
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-08,113.55,113.585,113.965,113.3,113.71,113.71,0.16,19,25768,367227
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-09,113.71,113.76,113.825,113.26,113.475,113.475,-0.235,8,15692,366827
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-10,113.475,113.48,113.8,113.24,113.435,113.435,-0.04,8,19618,364746
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-13,113.435,113.405,113.735,113.315,113.595,113.595,0.16,8,15409,365215
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-14,113.595,113.58,113.77,113.415,113.735,113.755,0.16,7,12464,366060
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-15,113.755,113.725,114.275,113.615,114.06,114.06,0.305,21,20386,367707
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-16,114.06,114.075,114.255,113.545,113.7,113.7,-0.36,8,24022,365930
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-17,113.7,113.745,113.865,113.135,113.73,113.73,0.03,8,22361,364439
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-20,113.73,113.73,113.745,113.32,113.61,113.61,-0.12,8,13109,364705
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-21,113.61,113.665,114.225,113.555,114.085,114.085,0.475,7,23075,366967
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-22,114.085,114.1,114.38,113.935,114.135,114.135,0.05,23,20356,369532
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-23,114.135,114.135,114.48,114.08,114.43,114.43,0.295,9,12004,370132
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-24,114.43,114.445,114.53,114.29,114.35,114.35,-0.08,12,8235,371018
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-27,114.35,114.4,114.925,114.3,114.875,114.875,0.525,11,21042,372944
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-28,114.875,114.905,114.955,114.7,114.84,114.82,-0.055,148,13110,372610
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-29,114.82,114.825,115.05,114.66,114.97,114.97,0.15,16,14244,374048
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-30,114.97,114.985,115.22,114.93,115.085,115.085,0.115,,12777,374105
USD-JPY,U.S. Dollar-Japanese Yen,2021-12-31,115.085,115.08,115.21,114.99,115.085,115.085,,,7442,373916
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-03,115.085,115.02,115.375,114.95,115.37,115.37,0.285,13,18332,375351
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-04,115.37,115.36,116.36,115.28,116.16,116.16,0.79,8,44743,381554
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-05,116.16,116.16,116.255,115.61,116.135,116.115,-0.045,30,22791,380895
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-06,116.115,116.15,116.2,115.64,115.84,115.84,-0.275,9,23940,379752
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-07,115.84,115.865,116.035,115.535,115.58,115.56,-0.28,,15231,378726
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-10,115.56,115.6,115.855,115.03,115.225,115.225,-0.335,12,21359,376160
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-11,115.225,115.21,115.69,115.13,115.305,115.305,0.08,10,18094,375088
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-12,115.305,115.335,115.475,114.37,114.655,114.655,-0.65,32,33200,369072
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-13,114.655,114.7,114.72,113.99,114.155,114.155,-0.5,,35609,364672
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-14,114.155,114.205,114.245,113.47,114.18,114.18,0.025,10,39011,360293
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-17,114.18,114.2,114.655,114.15,114.615,114.615,0.435,11,19277,361239
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-18,114.615,114.62,115.07,114.445,114.62,114.585,-0.03,11,24393,361690
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-19,114.585,114.585,114.805,114.2,114.325,114.325,-0.26,27,13728,360732
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-20,114.325,114.345,114.55,113.95,114.125,114.125,-0.2,10,16885,360004
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-21,114.125,114.115,114.135,113.6,113.665,113.665,-0.46,11,27391,358832
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-24,113.665,113.7,114.015,113.455,113.955,113.975,0.31,12,22801,360069
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-25,113.975,113.96,114.16,113.66,113.865,113.865,-0.11,11,15775,359924
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-26,113.865,113.855,114.705,113.78,114.68,114.68,0.815,27,22390,362280
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-27,114.68,114.68,115.5,114.46,115.385,115.385,0.705,13,48422,366635
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-28,115.385,115.335,115.7,115.11,115.225,115.225,-0.16,10,24842,367633
USD-JPY,U.S. Dollar-Japanese Yen,2022-01-31,115.225,115.315,115.605,114.93,115.11,115.11,-0.115,10,14097,367035
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-01,115.11,115.125,115.205,114.555,114.7,114.7,-0.41,9,17306,365055
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-02,114.7,114.715,114.82,114.16,114.42,114.42,-0.28,24,19296,363181
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-03,114.42,114.43,115,114.315,114.995,114.995,0.575,9,18005,365099
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-04,114.995,114.955,115.44,114.79,115.205,115.205,0.21,10,26626,367640
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-07,115.205,115.3,115.385,114.9,115.075,115.095,-0.11,10,11208,367083
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-08,115.095,115.105,115.63,115.045,115.525,115.55,0.455,35,16880,370507
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-09,115.55,115.54,115.71,115.31,115.56,115.56,0.01,11,9559,369504
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-10,115.56,115.55,116.35,115.47,115.975,116,0.44,,42208,373038
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-11,116,116.025,116.18,115,115.27,115.295,-0.705,15,26170,370288
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-14,115.295,115.43,115.75,115,115.555,115.555,0.26,11,25825,370073
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-15,115.555,115.565,115.875,115.245,115.625,115.625,0.07,9,18152,370254
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-16,115.625,115.625,115.795,115.345,115.465,115.465,-0.16,31,10881,369472
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-17,115.465,115.485,115.545,114.84,114.95,114.95,-0.515,,28656,366941
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-18,114.95,114.96,115.31,114.775,115.09,115.09,0.14,22,13620,367235
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-21,115.09,115.055,115.12,114.705,114.775,114.755,-0.335,11,11480,365650
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-22,114.755,114.72,115.25,114.49,115.08,115.08,0.325,,24049,366356
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-23,115.08,115.035,115.21,114.92,115.04,115.04,-0.04,31,7878,365822
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-24,115.04,114.975,115.7,114.4,115.52,115.52,0.48,24,44004,368613
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-25,115.52,115.51,115.775,115.145,115.545,115.545,0.025,14,21234,369331
USD-JPY,U.S. Dollar-Japanese Yen,2022-02-28,115.545,115.605,115.805,114.865,114.98,114.96,-0.585,21,25163,365793
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-01,114.96,115.01,115.305,114.69,114.91,114.91,-0.05,12,23259,362824
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-02,114.91,114.91,115.7,114.795,115.495,115.495,0.585,13,22928,365418
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-03,115.495,115.54,115.815,115.4,115.47,115.47,-0.025,10,16983,367741
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-04,115.47,115.485,115.56,114.65,114.83,114.83,-0.64,15,31350,361838
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-07,114.83,114.91,115.485,114.82,115.305,115.305,0.475,8,20285,362956
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-08,115.305,115.315,115.8,115.27,115.65,115.65,0.345,8,21559,366506
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-09,115.65,115.685,115.955,115.565,115.845,115.845,0.195,14,21236,368048
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-10,115.845,115.855,116.205,115.81,116.145,116.145,0.3,11,27274,370969
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-11,116.145,116.115,117.36,116.115,117.235,117.235,1.09,9,59012,381762
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-14,117.235,117.35,118.23,117.32,118.215,118.2,0.965,9,49644,383597
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-15,118.2,118.18,118.465,117.7,118.32,118.285,0.085,16,46132,383887
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-16,118.285,118.32,119.13,118.16,118.78,118.78,0.495,62,40566,389636
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-17,118.78,118.78,119.04,118.365,118.615,118.615,-0.165,19,29198,387285
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-18,118.615,118.63,119.41,118.46,119.15,119.13,0.515,,33002,389133
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-21,119.13,119.175,119.52,119.09,119.505,119.485,0.355,21,17684,388219
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-22,119.485,119.485,121.05,119.42,120.835,120.835,1.35,21,74763,387486
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-23,120.835,120.85,121.415,120.58,121.16,121.16,0.325,56,42018,385819
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-24,121.16,121.15,122.425,120.94,122.37,122.37,1.21,21,52576,385195
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-25,122.37,122.36,122.45,121.165,122.135,122.135,-0.235,26,49360,384147
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-28,122.135,122.19,125.105,122.13,123.91,123.91,1.775,24,122534,381930
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-29,123.91,123.905,124.325,122,122.905,122.885,-1.025,37,71438,380273
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-30,122.885,122.905,123.2,121.3,121.85,121.825,-1.06,65,55048,380483
USD-JPY,U.S. Dollar-Japanese Yen,2022-03-31,121.825,121.85,122.46,121.27,121.73,121.71,-0.115,21,38946,377991
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-01,121.71,121.7,123.045,121.68,122.57,122.54,0.83,21,38612,380983
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-04,122.54,122.705,122.96,122.275,122.75,122.75,0.21,22,21102,380119
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-05,122.75,122.78,123.67,122.38,123.585,123.585,0.835,20,45862,382320
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-06,123.585,123.615,124.06,123.43,123.805,123.785,0.2,59,44253,382452
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-07,123.785,123.82,124.015,123.48,123.98,123.98,0.195,23,20786,382386
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-08,123.98,123.99,124.69,123.66,124.34,124.34,0.36,27,41173,382309
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-11,124.34,124.37,125.785,124.29,125.405,125.405,1.065,23,72499,383227
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-12,125.405,125.42,125.765,124.75,125.4,125.4,-0.005,20,52348,381481
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-13,125.4,125.41,126.315,125.335,125.68,125.68,0.28,54,60749,381803
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-14,125.68,125.715,126.005,125.07,125.905,125.905,0.225,25,40766,381643
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-15,125.905,125.885,126.7,125.885,126.395,126.395,0.49,30,39633,380968
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-18,126.395,126.485,127.015,126.22,126.98,126.98,0.585,24,42434,379818
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-19,126.98,126.985,128.98,126.975,128.88,128.88,1.9,22,125009,378105
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-20,128.88,128.91,129.425,127.445,127.855,127.855,-1.025,60,149139,376609
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-21,127.855,127.96,128.715,127.8,128.35,128.35,0.495,23,55193,375294
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-22,128.35,128.385,129.13,127.74,128.555,128.555,0.205,23,59043,374782
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-25,128.555,128.77,128.87,127.535,128.115,128.115,-0.44,25,53322,373559
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-26,128.115,128.12,128.235,127.015,127.23,127.23,-0.885,100,57061,373640
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-27,127.23,127.225,128.6,126.92,128.46,128.415,1.185,124,62419,377593
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-28,128.415,128.44,131.27,128.325,130.845,130.845,2.43,,168737,380978
USD-JPY,U.S. Dollar-Japanese Yen,2022-04-29,130.845,130.845,130.965,129.325,129.765,129.765,-1.08,128,77100,376651
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-02,129.765,130.075,130.49,129.6,130.17,130.17,0.405,,50064,375122
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-03,130.17,130.235,130.3,129.7,130.13,130.13,-0.04,,22236,375119
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-04,130.13,130.115,130.4,128.625,129.145,129.125,-1.005,,47890,375066
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-05,129.125,129.215,130.565,128.745,130.155,130.155,1.03,47,57994,373556
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-06,130.155,130.225,130.815,130.085,130.52,130.55,0.395,43,46730,373570
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-09,130.55,130.75,131.36,130.095,130.315,130.315,-0.235,41,65555,373345
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-10,130.315,130.385,130.59,129.79,130.435,130.435,0.12,44,49603,373911
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-11,130.435,130.415,130.815,129.44,130.02,130,-0.435,117,74451,372587
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-12,130,129.985,130.06,127.5,128.29,128.29,-1.71,41,89559,370334
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-13,128.29,128.395,129.47,128.34,129.34,129.34,1.05,42,45942,371513
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-16,129.34,129.445,129.65,128.69,129.12,129.12,-0.22,37,34569,371321
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-17,129.12,129.09,129.8,128.825,129.33,129.36,0.24,38,34349,373112
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-18,129.36,129.39,129.55,128,128.265,128.265,-1.095,109,44098,370113
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-19,128.265,128.315,128.955,127.015,127.81,127.81,-0.455,38,79272,369981
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-20,127.81,127.83,128.31,127.515,127.84,127.86,0.05,39,37704,372303
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-23,127.86,127.975,128.075,127.145,127.875,127.9,0.04,39,28757,374194
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-24,127.9,127.895,128.1,126.35,126.845,126.845,-1.055,39,61688,370621
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-25,126.845,126.86,127.505,126.64,127.285,127.285,0.44,157,40947,375280
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-26,127.285,127.235,127.6,126.55,127.08,127.08,-0.205,,53485,373950
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-27,127.08,127.145,127.26,126.665,127.12,127.12,0.04,49,28716,374704
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-30,127.12,127.155,127.835,126.855,127.585,127.585,0.465,43,23140,376804
USD-JPY,U.S. Dollar-Japanese Yen,2022-05-31,127.585,127.615,128.9,127.545,128.69,128.69,1.105,38,69801,378480
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-01,128.69,128.68,130.2,128.635,130.14,130.14,1.45,113,77389,380673
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-02,130.14,130.16,130.255,129.5,129.88,129.855,-0.285,41,49477,381570
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-03,129.855,129.89,131,129.67,130.87,130.87,1.015,43,75855,384212
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-06,130.87,130.92,132.015,130.415,131.92,131.92,1.05,40,83917,385292
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-07,131.92,131.925,133.01,131.88,132.655,132.655,0.735,39,109949,384408
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-08,132.655,132.62,134.485,132.59,134.265,134.265,1.61,116,122482,383595
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-09,134.265,134.26,134.565,133.185,134.39,134.39,0.125,41,87590,383305
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-10,134.39,134.375,134.485,133.355,134.395,134.395,0.005,43,64712,383790
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-13,134.395,134.615,135.23,133.58,134.42,134.45,0.055,42,103523,383197
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-14,134.45,134.435,135.48,133.86,135.43,135.43,0.98,70,71980,384470
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-15,135.43,135.505,135.605,133.49,133.835,133.835,-1.595,303,120479,381336
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-16,133.835,133.89,134.69,131.48,132.205,132.205,-1.63,,136270,376652
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-17,132.205,132.285,135.44,132.175,134.94,134.99,2.785,81,141246,380394
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-20,134.99,135.205,135.46,134.515,135.08,135.08,0.09,82,58017,380295
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-21,135.08,135.1,136.71,134.935,136.685,136.685,1.605,80,79953,381920
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-22,136.685,136.69,136.73,135.685,136.23,136.23,-0.455,225,67012,379949
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-23,136.23,136.17,136.21,134.25,134.96,134.96,-1.27,73,93689,375887
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-24,134.96,134.975,135.405,134.34,135.225,135.2,0.24,75,40490,376144
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-27,135.2,135.16,135.555,134.51,135.465,135.465,0.265,76,28999,376254
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-28,135.465,135.47,136.4,135.095,136.15,136.15,0.685,127,46093,379614
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-29,136.15,136.18,137.015,135.73,136.58,136.58,0.43,298,74329,380910
USD-JPY,U.S. Dollar-Japanese Yen,2022-06-30,136.58,136.545,136.82,135.54,135.77,135.77,-0.81,,47869,377771
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-01,135.77,135.765,136,134.75,135.295,135.295,-0.475,81,66568,371005
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-04,135.295,135.29,135.785,134.775,135.69,135.69,0.395,87,29845,370837
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-05,135.69,135.66,136.365,135.535,135.89,135.89,0.2,71,46636,371215
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-06,135.89,135.83,136.005,134.95,135.94,135.94,0.05,206,43865,370591
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-07,135.94,135.915,136.23,135.55,136.02,136,0.06,69,33386,371721
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-08,136,136.01,136.575,135.325,136.05,136.05,0.05,75,54773,372411
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-11,136.05,136.145,137.765,136.105,137.425,137.425,1.375,70,75012,376859
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-12,137.425,137.455,137.54,136.465,136.845,136.845,-0.58,70,39354,374493
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-13,136.845,136.85,137.875,136.68,137.45,137.45,0.605,271,57293,375311
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-14,137.45,137.44,139.405,137.325,138.95,138.95,1.5,76,125175,378107
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-15,138.95,138.965,139.145,138.38,138.525,138.545,-0.405,,54911,375956
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-18,138.545,138.525,138.555,137.88,138.15,138.15,-0.395,71,41596,373620
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-19,138.15,138.145,138.405,137.37,138.205,138.185,0.035,70,41227,371427
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-20,138.185,138.155,138.385,137.89,138.27,138.27,0.085,202,13875,372037
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-21,138.27,138.235,138.89,137.32,137.35,137.35,-0.92,70,55941,369981
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-22,137.35,137.39,137.96,135.55,136.015,135.995,-1.355,75,101715,366944
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-25,135.995,136.185,136.8,135.875,136.67,136.67,0.675,73,31411,367458
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-26,136.67,136.68,136.965,136.285,136.965,136.965,0.295,100,20955,368295
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-27,136.965,136.9,137.465,136.35,136.625,136.625,-0.34,307,44733,368482
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-28,136.625,136.6,136.61,134.19,134.245,134.22,-2.405,100,128233,366001
USD-JPY,U.S. Dollar-Japanese Yen,2022-07-29,134.22,134.35,134.685,132.495,133.375,133.345,-0.875,97,107472,366846
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-01,133.345,133.32,133.58,131.59,131.635,131.615,-1.73,93,81861,368095
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-02,131.615,131.67,133.17,130.37,133.12,133.12,1.505,93,79731,368970
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-03,133.12,133.19,134.555,132.28,133.895,133.895,0.775,277,92163,372949
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-04,133.895,133.87,134.43,132.77,132.975,132.975,-0.92,93,49376,369934
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-05,132.975,132.99,135.515,132.5,135.03,135.03,2.055,96,103024,373077
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-08,135.03,135.325,135.6,134.35,134.995,134.995,-0.035,195,37262,372066
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-09,134.995,134.975,135.215,134.675,135.135,135.16,0.165,282,15854,372845
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-10,135.16,135.155,135.3,132.025,132.895,132.895,-2.265,,74951,369909
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-11,132.895,132.91,133.325,131.715,133,133,0.105,97,63746,370492
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-12,133,133.03,133.9,132.875,133.45,133.49,0.49,95,33289,370878
USD-JPY,U.S. Dollar-Japanese Yen,2022-08-15,133.49,133.52,133.6,132.54,133.28,133.305,-0.185,93,52122,367653
